"code","description"
"RBV","THE CHRISTIE NHS FOUNDATION TRUST"
"RBZ","NORTHERN DEVON HEALTHCARE NHS TRUST"
"RC1","BEDFORD HOSPITAL NHS TRUST"
"RC9","LUTON AND DUNSTABLE UNIVERSITY HOSPITAL NHS FOUNDATION TRUST"
"RCB","YORK TEACHING HOSPITAL NHS FOUNDATION TRUST"
"RCD","HARROGATE AND DISTRICT NHS FOUNDATION TRUST"
"RCF","AIREDALE NHS FOUNDATION TRUST"
"RCU","SHEFFIELD CHILDREN'S NHS FOUNDATION TRUST"
"RCX","THE QUEEN ELIZABETH HOSPITAL, KING'S LYNN, NHS FOUNDATION TRUST"
"RD1","ROYAL UNITED HOSPITALS BATH NHS FOUNDATION TRUST"
"RD3","POOLE HOSPITAL NHS FOUNDATION TRUST"
"RD8","MILTON KEYNES UNIVERSITY HOSPITAL NHS FOUNDATION TRUST"
"RDD","BASILDON AND THURROCK UNIVERSITY HOSPITALS NHS FOUNDATION TRUST"
"RDE","COLCHESTER HOSPITAL UNIVERSITY NHS FOUNDATION TRUST"
"RDR","SUSSEX COMMUNITY NHS FOUNDATION TRUST"
"RDU","FRIMLEY HEALTH NHS FOUNDATION TRUST"
"RDY","DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST"
"RDZ","THE ROYAL BOURNEMOUTH AND CHRISTCHURCH HOSPITALS NHS FOUNDATION TRUST"
"RE9","SOUTH TYNESIDE NHS FOUNDATION TRUST"
"REF","ROYAL CORNWALL HOSPITALS NHS TRUST"
"REM","AINTREE UNIVERSITY HOSPITAL NHS FOUNDATION TRUST"
"REN","THE CLATTERBRIDGE CANCER CENTRE NHS FOUNDATION TRUST"
"REP","LIVERPOOL WOMEN'S NHS FOUNDATION TRUST"
"RET","THE WALTON CENTRE NHS FOUNDATION TRUST"
"RF4","BARKING, HAVERING AND REDBRIDGE UNIVERSITY HOSPITALS NHS TRUST"
"RFF","BARNSLEY HOSPITAL NHS FOUNDATION TRUST"
